link,artist,artist_country,keywords,subject,styles,mediums,materials,list_price,category,height,width,depth
/art/Painting-Pear/57954/2519362/view,Yulia Luchkina,Russia,"pear, red, abstract, fruit, art, gold",Food,"Abstract, Conceptual, Art Deco, Fine Art, Minimalism",Acrylic,Cardboard,"$1,640.00",Painting,11.8  H, 15.7  W,0.2
/art/Painting-Pale-rider/26409/3148410/view,Jea Devoe,United States,"painting, beauty, rhythmic, sensual, sport, elegant, energy, equestrian, grace, horse, languors, lyrical",Horse,"Conceptual, Expressionism, Fine Art, Figurative, Modern","Acrylic, Paint",Canvas,"$5,350.00",Painting,36  H, 36  W,1.5
/art/Painting-Zittend-naakt/737785/2923694/view,Victor van de Lande,Netherlands,"pink, skin, sleeping, body, women, abstract, female, love, nude",Nude,"Abstract Expressionism, Abstract, Figurative, Fine Art, Modern",Acrylic,Wood,$710.00,Painting,27.2  H, 24  W,0.8
/art/Painting-Duo-11/10061/3087152/view,Cathy Locke,United States,"unique, fine art, contemporary, edgy, female",Women,"Figurative, Conceptual, Fine Art, Modern",Oil,Canvas,"$1,200.00",Painting,16  H, 12  W,1
/art/Painting-Capvespre-a-l-Estany-Twiligt-in-the-lake/478202/1687961/view,Clara Rossy,Spain,"soul, twilight, dream, lake, mirage, nature",Nature,"Abstract, Abstract Expressionism, Impressionism, Modern, Fine Art",Mixed Media,Canvas,"$1,540.00",Painting,39.4  H, 31.9  W,0.8
/art/Painting-New-Earth/920960/3194795/view,CRISTINA ULANDER,United Kingdom,"sky, blue, storm, clouds, atmospheric, moody",Landscape,"Fine Art, Realism, Expressionism",Oil,Aluminium,"$1,993.00",Painting,41  H, 57  W,2.5
/art/Painting-Franklin-Street/328612/2314176/view,Michael Goro,United States,"sculpture, urban, chicago, city, architecture, oil",Architecture,"Figurative, Fine Art",Oil,Wood,"$1,200.00",Painting,14  H, 11  W,0.8
/art/Painting-INNER-LANDSCAPE-2/882104/3046649/view,Ella Kolanowska,United States,"#oil, #painting, #green, #modern, #fineart, #minimalism",Abstract,"Minimalism, Fine Art, Modern",Oil,Canvas,"$3,410.00",Painting,48  H, 36  W,2
/art/Painting-Abstraction-of-Water/924347/3242317/view,Rose Marie,United States,"river, serene, blue, water, waterfall, impasto, thick paint, meditation, nature",Abstract,"Abstract, Art Deco, Abstract Expressionism, Fine Art",Oil,Paper,$250.00,Painting,11  H, 14  W,0.1
/art/Painting-Leaving-the-Century-of-Mediocrity/925622/3211857/view,Carmen Moreno,,"window, children, social criticism, curiosity, Backlighting, nostalgia",World Culture,"Figurative, Modern, Fine Art",Oil,Canvas,"$10,450.00",Painting,36.2  H, 25.6  W,0.8
